tratto	data	larghezza
3	2018-06-15	nan
4	2018-06-15	nan
5	2018-06-15	nan
6	2018-06-15	nan
7	2018-06-15	834.42
8	2018-06-15	968.01
9	2018-06-15	972.5
10	2018-06-15	811.45
11	2018-06-15	588.89
12	2018-06-15	358.79
13	2018-06-15	559.02
14	2018-06-15	784.7
15	2018-06-15	nan
16	2018-06-15	nan
17	2018-06-15	nan
18	2018-06-15	nan
19	2018-06-15	nan
20	2018-06-15	nan
21	2018-06-15	nan
22	2018-06-15	nan
23	2018-06-15	nan
1	2018-09-16	347.21
2	2018-09-16	385.69
3	2018-09-16	433.19
4	2018-09-16	426.09
5	2018-09-16	502.01
6	2018-09-16	720.64
7	2018-09-16	827.46
8	2018-09-16	968.39
9	2018-09-16	970.55
10	2018-09-16	803.53
11	2018-09-16	578.44
12	2018-09-16	353.69
13	2018-09-16	558.26
14	2018-09-16	783.9
15	2018-09-16	958.35
16	2018-09-16	782.46
17	2018-09-16	914.8
18	2018-09-16	871.69
19	2018-09-16	738.24
20	2018-09-16	681.79
21	2018-09-16	690.64
22	2018-09-16	497.57
23	2018-09-16	252
